iter	Passed	Remaining
1150	15864	25484
1151	15877	25470
1152	15891	25456
1153	15905	25443
1154	15920	25430
1155	15935	25419
1156	15949	25405
1157	15962	25391
1158	15977	25379
1159	15992	25366
1160	16006	25353
1161	16020	25340
1162	16036	25329
1163	16050	25316
1164	16063	25302
1165	16078	25290
1166	16092	25276
1167	16106	25263
1168	16120	25248
1169	16134	25236
1170	16149	25224
1171	16164	25212
1172	16178	25198
1173	16192	25185
1174	16207	25173
1175	16222	25161
1176	16237	25148
1177	16251	25136
1178	16265	25123
1179	16280	25111
1180	16294	25097
1181	16309	25085
1182	16325	25074
1183	16339	25061
1184	16354	25048
1185	16368	25035
1186	16384	25024
1187	16399	25012
1188	16414	25002
1189	16429	24989
1190	16445	24978
1191	16460	24966
1192	16475	24954
1193	16489	24941
1194	16503	24928
1195	16517	24914
1196	16531	24901
1197	16545	24886
1198	16558	24872
1199	16571	24857
1200	16584	24842
1201	16598	24828
1202	16612	24814
1203	16626	24802
1204	16642	24790
1205	16657	24778
1206	16671	24765
1207	16686	24753
1208	16701	24741
1209	16716	24729
1210	16732	24718
1211	16747	24706
1212	16761	24693
1213	16776	24680
1214	16790	24667
1215	16819	24675
1216	16833	24662
1217	16847	24648
1218	16860	24633
1219	16873	24619
1220	16887	24604
1221	16901	24591
1222	16914	24576
1223	16928	24562
1224	16944	24551
1225	16958	24538
1226	16972	24524
1227	16986	24511
1228	16999	24497
1229	17013	24482
1230	17026	24467
1231	17039	24453
1232	17052	24437
1233	17065	24423
1234	17079	24409
1235	17093	24395
1236	17106	24380
1237	17120	24366
1238	17135	24354
1239	17149	24341
1240	17163	24326
1241	17176	24312
1242	17189	24298
1243	17203	24283
1244	17216	24268
1245	17229	24254
1246	17243	24240
1247	17256	24225
1248	17269	24210
1249	17282	24195
1250	17296	24181
1251	17309	24167
1252	17323	24152
1253	17336	24138
1254	17350	24124
1255	17363	24109
1256	17376	24095
1257	17390	24080
1258	17403	24066
1259	17417	24052
1260	17430	24037
1261	17443	24022
1262	17457	24008
1263	17469	23993
1264	17482	23978
1265	17496	23964
1266	17509	23949
1267	17523	23935
1268	17536	23921
1269	17549	23906
1270	17563	23892
1271	17576	23878
1272	17591	23865
1273	17605	23851
1274	17618	23837
1275	17632	23822
1276	17646	23809
1277	17659	23794
1278	17672	23779
1279	17686	23766
1280	17700	23752
1281	17714	23739
1282	17728	23725
1283	17742	23711
1284	17755	23696
1285	17768	23682
1286	17781	23667
1287	17795	23653
1288	17808	23638
1289	17821	23623
1290	17837	23613
1291	17851	23598
1292	17864	23584
1293	17878	23571
1294	17893	23558
1295	17907	23545
1296	17923	23533
1297	17937	23520
1298	17951	23507
1299	17965	23493
1300	17980	23480
1301	17994	23466
1302	18007	23453
1303	18021	23438
1304	18034	23424
1305	18047	23409
1306	18058	23391
1307	18072	23377
1308	18086	23363
1309	18110	23363
1310	18138	23368
1311	18159	23364
1312	18173	23350
1313	18186	23335
1314	18200	23321
1315	18213	23306
1316	18227	23293
1317	18242	23281
1318	18257	23267
1319	18266	23248
1320	18280	23235
1321	18294	23221
1322	18307	23206
1323	18321	23191
1324	18334	23177
1325	18347	23162
1326	18360	23148
1327	18373	23133
1328	18386	23118
1329	18400	23103
1330	18412	23088
1331	18426	23074
1332	18439	23059
1333	18452	23044
1334	18465	23030
1335	18478	23015
1336	18491	23000
1337	18504	22985
1338	18518	22971
1339	18531	22956
1340	18545	22943
1341	18558	22928
1342	18571	22913
1343	18584	22898
1344	18597	22883
1345	18610	22869
